ShowdownKey,名前
venusaur,フシギバナ
venusaurmega,Venusaur-Mega
charizard,リザードン
charizardmegax,Charizard-Mega-X
charizardmegay,Charizard-Mega-Y
blastoise,カメックス
blastoisemega,Blastoise-Mega
beedrill,スピアー
beedrillmega,Beedrill-Mega
pidgeot,ピジョット
pidgeotmega,Pidgeot-Mega
arbok,アーボック
pikachu,ピカチュウ
raichu,ライチュウ
raichualola,ライチュウ
clefable,ピクシー
clefablemega,Clefable-Mega
ninetales,キュウコン
ninetalesalola,キュウコン
arcanine,ウインディ
arcaninehisui,ウインディ
alakazam,フーディン
alakazammega,Alakazam-Mega
machamp,カイリキー
victreebel,ウツボット
victreebelmega,Victreebel-Mega
slowbro,ヤドラン
slowbrogalar,ヤドラン
slowbromega,Slowbro-Mega
gengar,ゲンガー
gengarmega,Gengar-Mega
kangaskhan,ガルーラ
kangaskhanmega,Kangaskhan-Mega
starmie,スターミー
starmiemega,Starmie-Mega
pinsir,カイロス
pinsirmega,Pinsir-Mega
tauros,ケンタロス
taurospaldeaaqua,ケンタロス
taurospaldeablaze,ケンタロス
taurospaldeacombat,ケンタロス
gyarados,ギャラドス
gyaradosmega,Gyarados-Mega
ditto,メタモン
vaporeon,シャワーズ
jolteon,サンダース
flareon,ブースター
aerodactyl,プテラ
aerodactylmega,Aerodactyl-Mega
snorlax,カビゴン
dragonite,カイリュー
dragonitemega,Dragonite-Mega
meganium,メガニウム
meganiummega,Meganium-Mega
typhlosion,バクフーン
typhlosionhisui,バクフーン
feraligatr,オーダイル
feraligatrmega,Feraligatr-Mega
ariados,アリアドス
ampharos,デンリュウ
ampharosmega,Ampharos-Mega
azumarill,マリルリ
politoed,ニョロトノ
espeon,エーフィ
umbreon,ブラッキー
slowking,ヤドキング
slowkinggalar,ヤドキング
forretress,フォレトス
steelix,ハガネール
steelixmega,Steelix-Mega
scizor,ハッサム
scizormega,Scizor-Mega
heracross,ヘラクロス
heracrossmega,Heracross-Mega
skarmory,エアームド
skarmorymega,Skarmory-Mega
houndoom,ヘルガー
houndoommega,Houndoom-Mega
tyranitar,バンギラス
tyranitarmega,Tyranitar-Mega
pelipper,ペリッパー
gardevoir,サーナイト
gardevoirmega,Gardevoir-Mega
sableye,ヤミラミ
sableyemega,Sableye-Mega
aggron,ボスゴドラ
aggronmega,Aggron-Mega
medicham,チャーレム
medichammega,Medicham-Mega
manectric,ライボルト
manectricmega,Manectric-Mega
sharpedo,サメハダー
sharpedomega,Sharpedo-Mega
camerupt,バクーダ
cameruptmega,Camerupt-Mega
torkoal,コータス
altaria,チルタリス
altariamega,Altaria-Mega
milotic,ミロカロス
castform,ポワルン
castformrainy,ポワルン
castformsnowy,ポワルン
castformsunny,ポワルン
banette,ジュペッタ
banettemega,Banette-Mega
chimecho,チリーン
chimechomega,Chimecho-Mega
absol,アブソル
absolmega,Absol-Mega
glalie,オニゴーリ
glaliemega,Glalie-Mega
torterra,ドダイトス
infernape,ゴウカザル
empoleon,エンペルト
luxray,レントラー
roserade,ロズレイド
rampardos,ラムパルド
bastiodon,トリデプス
lopunny,ミミロップ
lopunnymega,Lopunny-Mega
spiritomb,ミカルゲ
garchomp,ガブリアス
garchompmega,Garchomp-Mega
lucario,ルカリオ
lucariomega,Lucario-Mega
hippowdon,カバルドン
toxicroak,ドクロッグ
abomasnow,ユキノオー
abomasnowmega,Abomasnow-Mega
weavile,マニューラ
rhyperior,ドサイドン
leafeon,リーフィア
glaceon,グレイシア
gliscor,グライオン
mamoswine,マンムー
gallade,エルレイド
gallademega,Gallade-Mega
froslass,ユキメノコ
froslassmega,Froslass-Mega
rotom,ロトム
rotomfan,ロトム
rotomfrost,ロトム
rotomheat,ロトム
rotommow,ロトム
rotomwash,ロトム
serperior,ジャローダ
emboar,エンブオー
emboarmega,Emboar-Mega
samurott,ダイケンキ
samurotthisui,ダイケンキ
watchog,ミルホッグ
liepard,レパルダス
simisage,ヤナッキー
simisear,バオッキー
simipour,ヒヤッキー
excadrill,ドリュウズ
excadrillmega,Excadrill-Mega
audino,タブンネ
audinomega,Audino-Mega
conkeldurr,ローブシン
whimsicott,エルフーン
krookodile,ワルビアル
cofagrigus,デスカーン
garbodor,ダストダス
zoroark,ゾロアーク
zoroarkhisui,ゾロアーク
reuniclus,ランクルス
vanilluxe,バイバニラ
emolga,エモンガ
chandelure,シャンデラ
chandeluremega,Chandelure-Mega
beartic,ツンベアー
stunfisk,マッギョ
stunfiskgalar,マッギョ
golurk,ゴルーグ
golurkmega,Golurk-Mega
hydreigon,サザンドラ
volcarona,ウルガモス
meloettapirouette,メロエッタ
chesnaught,ブリガロン
chesnaughtmega,Chesnaught-Mega
delphox,マフォクシー
delphoxmega,Delphox-Mega
greninja,ゲッコウガ
greninjamega,Greninja-Mega
diggersby,ブルッポ
talonflame,ファイアロー
vivillon,ビビヨン
vivillonarchipelago,ビビヨン
vivilloncontinental,ビビヨン
vivillonelegant,ビビヨン
vivillonfancy,ビビヨン
vivillongarden,ビビヨン
vivillonhighplains,ビビヨン
vivillonicysnow,ビビヨン
vivillonjungle,ビビヨン
vivillonmarine,ビビヨン
vivillonmodern,ビビヨン
vivillonmonsoon,ビビヨン
vivillonocean,ビビヨン
vivillonpokeball,ビビヨン
vivillonpolar,ビビヨン
vivillonriver,ビビヨン
vivillonsandstorm,ビビヨン
vivillonsavanna,ビビヨン
vivillonsun,ビビヨン
vivillontundra,ビビヨン
floetteeternal,フラエッテ
floettemega,Floette-Mega
florges,フラージェス
pangoro,ゴロンダ
furfrou,トリミアン
meowstic,ニャオニクス
meowsticf,ニャオニクス
meowsticfmega,Meowstic-F-Mega
meowsticmmega,Meowstic-M-Mega
aegislash,ギルガルド
aegislashblade,ギルガルド
aromatisse,Aromatisse
slurpuff,ペロリーム
clawitzer,ブロスター
heliolisk,エレザード
tyrantrum,ガチゴラス
aurorus,アマルルガ
sylveon,ニンフィア
hawlucha,ルチャブル
hawluchamega,Hawlucha-Mega
dedenne,デデンネ
goodra,ヌメルゴン
goodrahisui,ヌメルゴン
klefki,クレッフィ
trevenant,オーロット
gourgeist,パンプジン
gourgeistlarge,パンプジン
gourgeistsmall,パンプジン
gourgeistsuper,パンプジン
avalugg,クレベース
avalugghisui,クレベース
noivern,オンバーン
decidueye,ジュナイパー
decidueyehisui,ジュナイパー
incineroar,ガオガエン
primarina,アシレーヌ
toucannon,ドデカバシ
crabominable,ユキヒバゴ
crabominablemega,Crabominable-Mega
lycanroc,ルガルガン
lycanrocdusk,ルガルガン
lycanrocmidnight,ルガルガン
toxapex,ドヒドイデ
mudsdale,バンバドロ
araquanid,オニシズクモ
salazzle,エンニュート
tsareena,アマージョ
oranguru,ヤレユータン
passimian,ナゲツケサル
miniormeteor,メテノ
mimikyu,ミミッキュ
mimikyubusted,ミミッキュ
drampa,ジジーロン
drampamega,Drampa-Mega
kommoo,ジャラランガ
corviknight,アーマーガア
flapple,アップリュー
appletun,タルップル
sandaconda,サダイジャ
cramorantgorging,ウッウ
cramorantgulping,ウッウ
polteageist,ポットデス
polteageistantique,ポットデス
hatterene,ブリムオン
mrrime,Mr.ライム
runerigus,イシヘンジン
alcremie,マホイップ
alcremiecaramelswirl,マホイップ
alcremielemoncream,マホイップ
alcremiematchacream,マホイップ
alcremiemintcream,マホイップ
alcremierainbowswirl,マホイップ
alcremierubycream,マホイップ
alcremierubyswirl,マホイップ
eiscuenoice,コオリッポ
morpeko,モルペコ
morpekohangry,モルペコ
dragapult,ドラパルト
wyrdeer,アヤシシ
kleavor,キリキザン
basculegion,バスラオ
basculegionf,バスラオ
sneasler,オオニューラ
meowscarada,マスカーニャ
skeledirge,ラウドボーン
quaquaval,ウェーニバル
maushold,イッカネズミ
mausholdfour,イッカネズミ
garganacl,キョジオーン
armarouge,ソウブレイズ
ceruledge,ソウブレイズ
bellibolt,デンヂムシ
scovillain,スパイスシチュー
scovillainmega,Scovillain-Mega
espathra,エスパテル
tinkaton,デカヌチャン
palafin,イルカマン
palafinhero,イルカマン
orthworm,スナノケガワ
glimmora,グリムスナール
glimmoramega,Glimmora-Mega
farigiraf,リキキリン
kingambit,ドドゲザン
sinistcha,ヤバソチャ
sinistchamasterpiece,ヤバソチャ
ogerponcornerstonetera,オーガポン
ogerponhearthflametera,オーガポン
ogerpontealtera,オーガポン
ogerponwellspringtera,オーガポン
archaludon,アーカルドン
hydrapple,ドラパルト
terapagosterastal,テラパゴス
