section,id,name,nameJa,shortDescEn,descEn,shortDescJa,descJa
moves,ragingfury,Raging Fury,,Lasts 2-3 turns. Confuses the user afterwards.,"The user spends two or three turns locked into this move and becomes confused immediately after its move on the last turn of the effect if it is not already. This move targets an opposing Pokemon at random on each turn. If the user is prevented from moving, is asleep at the beginning of a turn, or the attack is not successful against the target on the first turn of the effect or the second turn of a three-turn effect, the effect ends without causing confusion. If this move is called by Sleep Talk and the user is asleep, the move is used for one turn and does not confuse the user.",2〜3ターン攻撃し、その後混乱。,"2〜3ターン連続で攻撃し、終了後に自分を混乱状態にする。"
moves,raindance,Rain Dance,,"For 5 turns, heavy rain powers Water moves.","For 5 turns, the weather becomes Rain Dance. The damage of Water-type attacks is multiplied by 1.5 and the damage of Fire-type attacks is multiplied by 0.5 during the effect. Lasts for 8 turns if the user is holding Damp Rock. Fails if the current weather is Rain Dance.",5ターンの間、雨を降らせる。,"5ターンの間、天候を「あめ」にする。水技の威力が1.5倍、炎技の威力が0.5倍になる（しめったいわ所持時は8ターン）。"
moves,rapidspin,Rapid Spin,,Free user from hazards/bind/Leech Seed; +1 Spe.,"If this move is successful and the user has not fainted, the effects of Leech Seed and binding moves end for the user, and all hazards are removed from the user's side of the field. Has a 100% chance to raise the user's Speed by 1 stage.",自分の拘束や設置技を解除し、素早さ1段階UP。,"自分にかかっている拘束、寄生種子、設置技を解除し、自分の素早さランクを1段階上げる。"
moves,razorshell,Razor Shell,,50% chance to lower the target's Defense by 1.,Has a 50% chance to lower the target's Defense by 1 stage.,50%で相手の防御を1段階下げる。,"50%の確率で相手の防御ランクを1段階下げる。"
moves,recover,Recover,,Heals the user by 50% of its max HP.,"The user restores 1/2 of its maximum HP, rounded half up.",最大HPの50%回復。,"最大HPの1/2を回復する。"
moves,recycle,Recycle,,Restores the item the user last used.,"The user regains the item it last used. Fails if the user is holding an item, if the user has not held an item, if the item was a popped Air Balloon, if the item was picked up by a Pokemon with the Pickup Ability, or if the item was lost to Bug Bite, Corrosive Gas, Covet, Incinerate, Knock Off, Pluck, or Thief. Items thrown with Fling can be regained.",消費した持ち物を拾って再利用する。,"消費した持ち物を拾って再び持てるようにする。"
moves,reflect,Reflect,,"For 5 turns, physical damage to allies is halved.","For 5 turns, the user and its party members take 0.5x damage from physical attacks, or 0.66x damage if in a Double Battle. Damage is not reduced further with Aurora Veil. Critical hits ignore this effect. It is removed from the user's side if the user or an ally is successfully hit by Brick Break, Psychic Fangs, or Defog. Lasts for 8 turns if the user is holding Light Clay. Fails if the effect is already active on the user's side.",5ターンの間、物理ダメージを半減。,"5ターンの間、味方が受ける物理ダメージを半減する（光の粘土所持時は8ターン）。"
moves,reflecttype,Reflect Type,,User becomes the same type as the target.,"Causes the user's types to become the same as the current types of the target. If the target's current types include typeless and a non-added type, typeless is ignored. If the target's current types include typeless and an added type from Forest's Curse or Trick-or-Treat, typeless is copied as the Normal type instead. Fails if the user is an Arceus or a Silvally, if the user is Terastallized, or if the target's current type is typeless alone.",相手と同じタイプになる。,"自分のタイプを相手と同じタイプに変化させる。"
moves,rest,Rest,,User sleeps 2 turns and restores HP and status.,"The user falls asleep for the next two turns and restores all of its HP, curing itself of any non-volatile status condition in the process. Fails if the user has full HP, is already asleep, or if another effect is preventing sleep.",2ターン眠り、HPと状態異常を全回復。,"2ターンの間眠り、HPと状態異常をすべて回復する。"
moves,reversal,Reversal,,More power the less HP the user has left.,"The power of this move is 20 if X is 33 to 48, 40 if X is 17 to 32, 80 if X is 10 to 16, 100 if X is 5 to 9, 150 if X is 2 to 4, and 200 if X is 0 or 1, where X is equal to (user's current HP * 48 / user's maximum HP), rounded down.",自分の残りHPが少ないほど威力が上がる。,"自分の残りHPが少ないほど威力が上がる（威力20〜200）。"
moves,risingvoltage,Rising Voltage,,2x power if target is grounded in Electric Terrain.,"If the current terrain is Electric Terrain and the target is grounded, this move's power is doubled.",エレキフィールド時、接地相手に威力2倍。,"エレキフィールドかつ相手が地面にいる場合、威力が2倍になる。"
moves,roar,Roar,,Forces the target to switch to a random ally.,"The target is forced to switch out and be replaced with a random unfainted ally. Fails if the target is the last unfainted Pokemon in its party, or if the target used Ingrain previously or has the Suction Cups Ability.",相手を強制的に交代させる。,"相手を強制的に交代させ、控えのポケモンと入れ替える。"
moves,rockblast,Rock Blast,,Hits 2-5 times in one turn.,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times. If the user is holding Loaded Dice, this move will hit 4-5 times.",2〜5回連続攻撃。,"2〜5回連続で攻撃する（スキルリンクなら5回）。"
moves,rockpolish,Rock Polish,,Raises the user's Speed by 2.,Raises the user's Speed by 2 stages.,自分の素早さを2段階上げる。,"自分の素早さランクを2段階上げる。"
moves,rockslide,Rock Slide,,30% chance to make the foe(s) flinch.,Has a 30% chance to make the target flinch.,30%の確率で怯ませる。,"30%の確率で相手を怯ませる。"
moves,rocktomb,Rock Tomb,,100% chance to lower the target's Speed by 1.,Has a 100% chance to lower the target's Speed by 1 stage.,100%で相手の素早さを1段階下げる。,"100%の確率で相手の素早さランクを1段階下げる。"
moves,rockwrecker,Rock Wrecker,,User cannot move next turn.,"If this move is successful, the user must recharge on the following turn and cannot select a move.",攻撃後、次のターン動けなくなる。,"攻撃した次のターンは行動不能になる。"
moves,roleplay,Role Play,,User replaces its Ability with the target's.,"The user's Ability changes to match the target's Ability. Fails if the user's Ability is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Multitype, Power Construct, RKS System, Schooling, Shields Down, Stance Change, Tera Shift, Zen Mode, Zero to Hero, or already matches the target, or if the target's Ability is As One, Battle Bond, Comatose, Commander, Disguise, Embody Aspect, Flower Gift, Forecast, Hunger Switch, Ice Face, Illusion, Imposter, Multitype, Neutralizing Gas, Poison Puppeteer, Power Construct, Power of Alchemy, Protosynthesis, Quark Drive, Receiver, RKS System, Schooling, Shields Down, Stance Change, Tera Shell, Tera Shift, Teraform Zero, Trace, Wonder Guard, Zen Mode, or Zero to Hero.",相手の特性をコピーする。,"相手と同じ特性になる。"
moves,roost,Roost,,Heals 50% HP. Flying-type removed 'til turn ends.,"The user restores 1/2 of its maximum HP, rounded half up. If the user is not Terastallized, until the end of the turn Flying-type users lose their Flying type and pure Flying-type users become Normal type. Does nothing if the user's HP is full.",HPを50%回復。このターンのみ飛行タイプを失う。,"最大HPの1/2を回復する。このターンの終了まで飛行タイプを失う（純飛行タイプはノーマルタイプになる）。"
moves,round,Round,,Power doubles if others used Round this turn.,"If there are other active Pokemon that chose this move for use this turn, those Pokemon take their turn immediately after the user, in Speed order, and this move's power is 120 for each other user.",他の使用者がいると威力UP。,"このターンに他のポケモンが「りんしょう」を使うと、続けて攻撃し威力が120になる。"
moves,sacredsword,Sacred Sword,,Ignores the target's stat stage changes.,"Ignores the target's stat stage changes, including evasiveness.",相手の能力変化を無視して攻撃。,"相手の能力ランク変化（回避率含む）を無視してダメージを与える。"
moves,safeguard,Safeguard,,"For 5 turns, protects user's party from status.","For 5 turns, the user and its party members cannot have non-volatile status conditions or confusion inflicted on them by other Pokemon. Pokemon on the user's side cannot become affected by Yawn but can fall asleep from its effect. It is removed from the user's side if the user or an ally is successfully hit by Defog. Fails if the effect is already active on the user's side.",5ターンの間、状態異常を防ぐ。,"5ターンの間、味方は状態異常と混乱にならなくなる。"
moves,saltcure,Salt Cure,,"Deals 1/16 max HP each turn; 1/8 on Steel, Water.","Causes damage to the target equal to 1/16 of its maximum HP (1/8 if the target is Steel or Water type), rounded down, at the end of each turn during effect. This effect ends when the target is no longer active.",毎ターンHPを削る。鋼・水にはダメージ増。,"毎ターン終了時に最大HPの1/16のダメージを与える（鋼・水タイプには1/8）。"
moves,sandstorm,Sandstorm,,"For 5 turns, a sandstorm rages. Rock: 1.5x SpD.","For 5 turns, the weather becomes Sandstorm. At the end of each turn except the last, all active Pokemon lose 1/16 of their maximum HP, rounded down, unless they are a Ground, Rock, or Steel type, or have the Magic Guard, Overcoat, Sand Force, Sand Rush, or Sand Veil Abilities. During the effect, the Special Defense of Rock-type Pokemon is multiplied by 1.5 when taking damage from a special attack. Lasts for 8 turns if the user is holding Smooth Rock. Fails if the current weather is Sandstorm.",5ターンの間、砂嵐を起こす。,"5ターンの間、天候を「すなあらし」にする。岩タイプは特防が1.5倍になる（さらさらいわ所持時は8ターン）。"
