名前,pokeID,dexID,育て方,ブースト,種族値,ランク,実数値
トロッゴン,944,623,最速,じょうききかん,50,6,448
レジエレキ,1007,671,最速,スカーフ,200,0,415
カマスジョー,953,632,最速,すいすい,136,2,412
トロッゴン,944,623,準速,じょうききかん,50,6,408
レジエレキ,1007,671,準速,スカーフ,200,0,378
ジュカイン,295,216,最速,かるわざ,120,2,378
オオニューラ,1020,684,最速,かるわざ,120,2,378
カマスジョー,953,632,準速,すいすい,136,2,376
ルチャブル,784,524,最速,かるわざ,118,2,374
エルフーン,608,416,最速,ようりょくそ,116,2,368
フローゼル,470,326,最速,すいすい,115,2,366
ルガルガン(まひるのすがた),844,570,最速,すなかき,112,2,360
タンドン,943,622,最速,じょうききかん,30,6,360
セキタンザン,945,624,最速,じょうききかん,30,6,360
ワタッコ,225,159,最速,ようりょくそ,110,2,356
ライチュウ(アローラのすがた),28,13,最速,サーフテール,110,2,356
タギングル,1068,729,最速,かるわざ,110,2,356
ジュカイン,295,216,準速,かるわざ,120,2,344
オオニューラ,1020,684,準速,かるわざ,120,2,344
ドレディア(ヒスイのすがた),611,419,最速,ようりょくそ,105,2,344
ルチャブル,784,524,準速,かるわざ,118,2,340
エルフーン,608,416,準速,ようりょくそ,116,2,336
フローゼル,470,326,準速,すいすい,115,2,334
マルマイン(原種),125,85,最速,スカーフ,150,0,333
マルマイン(ヒスイのすがた),126,86,最速,スカーフ,150,0,333
デオキシス(ノーマルフォルム),432,300,最速,スカーフ,150,0,333
バドレックス(こくばじょうのすがた),1012,676,最速,スカーフ,150,0,333
ルガルガン(まひるのすがた),844,570,準速,すなかき,112,2,328
タンドン,943,622,準速,じょうききかん,30,6,328
セキタンザン,945,624,準速,じょうききかん,30,6,328
ラブカス,416,284,最速,すいすい,97,2,326
ワタッコ,225,159,準速,ようりょくそ,110,2,324
ライチュウ(アローラのすがた),28,13,準速,サーフテール,110,2,324
タギングル,1068,729,準速,かるわざ,110,2,324
リーフィア,521,362,最速,ようりょくそ,95,2,322
メブキジカ,657,442,最速,ようりょくそ,95,2,322
ジュプトル,294,215,最速,かるわざ,95,2,322
ドラパルト,996,661,最速,スカーフ,142,0,319
ハハコモリ,603,414,最速,ようりょくそ,92,2,316
ドレディア(ヒスイのすがた),611,419,準速,ようりょくそ,105,2,314
ネオラント,508,353,最速,すいすい,91,2,314
ザシアン(れきせんのゆうしゃ),997,662,最速,スカーフ,138,0,313
ザマゼンタ(れきせんのゆうしゃ),999,664,最速,スカーフ,138,0,313
ドレディア(原種),610,418,最速,ようりょくそ,90,2,312
ニョロモ,73,48,最速,すいすい,90,2,312
ニョロゾ,74,49,最速,すいすい,90,2,312
カマスジョー,953,632,最速,スカーフ,136,0,309
テツノツツミ,1118,777,最速,スカーフ,136,0,309
テツノツツミ,1118,777,最速,クォークチャージ,136,1,309
ドリュウズ,591,408,最速,すなかき,88,2,308
ハバタクカミ,1114,773,最速,スカーフ,135,0,307
パオジアン,1130,789,最速,スカーフ,135,0,307
コライドン(かんぜんけい),1135,794,最速,スカーフ,135,0,307
ミライドン(かんぜんけい),1137,795,最速,スカーフ,135,0,307
ハバタクカミ,1114,773,最速,こだいかっせい,135,1,307
サワムラー,133,90,最速,かるわざ,87,2,304
マルマイン(原種),125,85,準速,スカーフ,150,0,303
マルマイン(ヒスイのすがた),126,86,準速,スカーフ,150,0,303
デオキシス(ノーマルフォルム),432,300,準速,スカーフ,150,0,303
バドレックス(こくばじょうのすがた),1012,676,準速,スカーフ,150,0,303
サンダース,167,113,最速,はやあし,130,1,300
サンダース,167,113,最速,スカーフ,130,0,300
ミュウツー,185,126,最速,スカーフ,130,0,300
ムゲンダイナ(通常),1001,666,最速,スカーフ,130,0,300
レイスポス,1010,674,最速,スカーフ,130,0,300
ゴルダック,66,41,最速,すいすい,85,2,300
ハリーセン(原種),249,179,最速,すいすい,85,2,300
ハリーセン(ヒスイのすがた),250,180,最速,すいすい,85,2,300
キングドラ,271,195,最速,すいすい,85,2,300
ブイゼル,469,325,最速,すいすい,85,2,300
ハリーマン,1021,685,最速,すいすい,85,2,300
ソウブレイズ,1060,721,最速,くだけるよろい,85,2,300
ラブカス,416,284,準速,すいすい,97,2,298
メロエッタ(ステップフォルム),727,491,最速,スカーフ,128,0,297
シェイミ(スカイフォルム),552,393,最速,スカーフ,127,0,294
リーフィア,521,362,準速,ようりょくそ,95,2,294
メブキジカ,657,442,準速,ようりょくそ,95,2,294
ジュプトル,294,215,準速,かるわざ,95,2,294
ファイアロー,744,503,最速,スカーフ,126,0,292
ドラパルト,996,661,準速,スカーフ,142,0,291
マニューラ,512,356,最速,スカーフ,125,0,291
ダークライ,550,391,最速,スカーフ,125,0,291
タイカイデン,1064,725,最速,スカーフ,125,0,291
フシギバナ,2,2,最速,ようりょくそ,80,2,290
ポポッコ,224,158,最速,ようりょくそ,80,2,290
ダーテング,318,230,最速,ようりょくそ,80,2,290
オニゴーリ,408,283,最速,ムラっけ,80,2,290
コイキング,161,107,最速,すいすい,80,2,290
ヒンバス,392,274,最速,すいすい,80,2,290
バルジーナ,703,470,最速,くだけるよろい,80,2,290
フワライド,477,331,最速,かるわざ,80,2,290
アブリボン,842,568,最速,スカーフ,124,0,289
テツノイワオ,1155,812,最速,スカーフ,124,0,289
テツノイワオ,1155,812,最速,クォークチャージ,124,1,289
オンバーン,807,539,最速,スカーフ,123,0,288
マスカーニャ,1026,690,最速,スカーフ,123,0,288
ハハコモリ,603,414,準速,ようりょくそ,92,2,288
ゲッコウガ(通常),738,500,最速,スカーフ,122,0,286
ネオラント,508,353,準速,すいすい,91,2,286
イダイトウ(オスのすがた),1018,682,最速,すいすい,78,2,286
イダイトウ(メスのすがた),1019,683,最速,すいすい,78,2,286
ザシアン(れきせんのゆうしゃ),997,662,準速,スカーフ,138,0,285
ザマゼンタ(れきせんのゆうしゃ),999,664,準速,スカーフ,138,0,285
トルネロス(れいじゅうフォルム),715,480,最速,スカーフ,121,0,285
モトトカゲ,1091,751,最速,スカーフ,121,0,285
ドレディア(原種),610,418,準速,ようりょくそ,90,2,284
ニョロモ,73,48,準速,すいすい,90,2,284
ニョロゾ,74,49,準速,すいすい,90,2,284
ウミトリオ,1084,745,最速,びびり,120,1,283
ダグトリオ(原種),58,33,最速,スカーフ,120,0,283
ジュカイン,295,216,最速,スカーフ,120,0,283
パルキア(オリジンフォルム),542,383,最速,スカーフ,120,0,283
アルセウス,553,394,最速,スカーフ,120,0,283
メテノ(コア),877,591,最速,スカーフ,120,0,283
インテレオン,924,614,最速,スカーフ,120,0,283
オオニューラ,1020,684,最速,スカーフ,120,0,283
ウミトリオ,1084,745,最速,スカーフ,120,0,283
カマスジョー,953,632,準速,スカーフ,136,0,282
テツノツツミ,1118,777,準速,スカーフ,136,0,282
テツノツツミ,1118,777,準速,クォークチャージ,136,1,282
エースバーン,921,611,最速,スカーフ,119,0,282
トドロクツキ,1133,792,最速,スカーフ,119,0,282
トドロクツキ,1133,792,最速,こだいかっせい,119,1,282
ハバタクカミ,1114,773,準速,スカーフ,135,0,280
パオジアン,1130,789,準速,スカーフ,135,0,280
コライドン(かんぜんけい),1135,794,準速,スカーフ,135,0,280
ミライドン(かんぜんけい),1137,795,準速,スカーフ,135,0,280
ハバタクカミ,1114,773,準速,こだいかっせい,135,1,280
ルチャブル,784,524,最速,スカーフ,118,0,280
ドリュウズ,591,408,準速,すなかき,88,2,280
サワムラー,133,90,準速,かるわざ,87,2,278
シキジカ,656,441,最速,ようりょくそ,75,2,278
スコヴィラン,1075,736,最速,ようりょくそ,75,2,278
ドーブル,276,200,最速,ムラっけ,75,2,278
スコヴィラン,1075,736,最速,ムラっけ,75,2,278
グレンアルマ,1059,720,最速,くだけるよろい,75,2,278
シルシュルー,1067,728,最速,かるわざ,75,2,278
レジエレキ,1007,671,最速,,200,0,277
エンニュート,860,582,最速,スカーフ,117,0,277
